pid,skill_name,endorsement
134,Enterprise Software,8
134,SaaS,1
134,Management,24
134,Leadership,19
134,Cross-functional Team Leadership,2
134,Design Thinking,4
134,Ethnography,7
134,Agile Leadership,1
134,Agile Methodolgy,1
134,Human-Centered Design,1
135,Software Development,1
135,Mobile Applications,1
135,Java,1
135,Android Development,0
135,Visual Studio,0
135,C++,0
135,MFC,0
135,Windows software development,0
136,Java,16
136,Web Development,12
136,CSS,11
136,Web Design,6
136,Mathematics,2
136,User Interface Design,2
136,Design,0
136,HTML 5,8
136,Ruby on Rails,7
136,Git,8
136,HTML,7
136,jQuery,6
136,JavaScript,8
136,Wordpress,4
136,Java Enterprise Edition,2
136,MySQL,2
136,PHP,2
136,JSP,2
136,Ubuntu,1
136,Ruby,1
136,HTML5,4
136,Cascading Style Sheets (CSS),2
136,Problem Solving,2
136,Cucumber,0
136,Play Framework,0
140,Process Improvement,16
140,IT Strategy,14
140,Program Management,13
140,Vendor Management,10
140,ERP,10
140,Disaster Recovery,10
140,Project Management,10
140,IT Management,8
140,Integration,8
140,Troubleshooting,7
140,Project Planning,5
140,Software Documentation,3
140,Project Portfolio Management,2
140,Software Project Management,2
140,ITIL,2
140,Data Center,2
140,Business Intelligence,1
140,Virtualization,1
140,SDLC,1
140,PMP,1
140,Scrum,0
140,Active Directory,4
140,Windows Server,4
140,SQL,1
140,Servers,1
140,SAP,1
140,Windows,1
140,VMware,1
140,Visio,1
140,Management,8
140,Cross-functional Team Leadership,6
140,Leadership,5
140,Team Leadership,5
145,Software Development,4
145,Agile Methodologies,3
145,Enterprise Software,2
145,SOA,1
145,Integration,1
145,Cloud Computing,0
145,Business Intelligence,0
145,Requirements Analysis,0
145,Pre-sales,0
145,SaaS,0
145,Oracle,0
145,Unix,0
152,Java,9
152,AJAX,2
152,JavaScript,4
152,Agile Methodologies,4
152,Programming,2
152,Computer Science,0
152,Software Development,2
152,Scala,2
152,C++,1
152,SoapUI,0
152,HTML,3
152,Python,3
152,CSS,2
152,MySQL,1
152,Public Speaking,1
152,Spanish Translation,2
152,Lean Transformation,0
154,Vendor Management,4
154,Requirements Analysis,4
154,Integration,3
154,Business Analysis,3
154,Agile Methodologies,2
154,Unix,3
155,Management,1
155,Community Outreach,1
155,Event Planning,1
155,Public Speaking,1
161,User Experience,18
161,Product Management,13
161,Mobile Devices,9
161,Email Marketing,6
161,Agile Project Management,6
161,Online Advertising,5
161,Web Project Management,5
161,Interaction Design,4
161,User Interface,4
161,Software Design,4
161,Project Management,4
161,Usability Testing,3
161,User Interface Design,1
161,Web Development,1
161,CMS,3
161,JavaScript,2
161,XML,2
161,SharePoint,1
162,Databases,98
162,Solaris,62
162,Enterprise Software,54
162,Disaster Recovery,36
162,Database Design,32
162,Cloud Computing,31
162,Data Warehousing,25
162,Software Development,19
162,Integration,14
162,Architecture,11
162,Data Center,10
162,Database Administration,10
162,Shell Scripting,9
162,Troubleshooting,8
162,Testing,8
162,Agile Methodologies,7
162,Distributed Systems,6
162,Security,5
162,Mobile Devices,5
162,Sarbanes-Oxley Act,4
162,Enterprise Architecture,4
162,Operations Management,3
162,High Availability,3
162,Big Data,3
162,Architectures,3
162,Solution Architecture,3
162,Analytics,2
162,Business Process,2
162,Continuous Improvement,1
162,Sybase,41
162,Unix,29
162,SaaS,17
162,SQL,10
162,MySQL,9
162,Linux,8
162,Red Hat Linux,5
162,Perl,4
162,Servers,4
162,Software as a Service (SaaS),1
162,Replication,10
162,Messaging,2
162,Initiative,2
162,Persistence,1
162,Continuous Delivery,1
162,PaaS,1
162,IaaS,0
162,Unix Shell Scripting,5
162,Integrity,3
162,Managing Database,3
162,Resolution of complex situations and problems,1
165,SDLC,17
165,Test Automation,9
165,Testing,8
165,Test Planning,7
165,Quality Assurance,6
165,Agile Methodologies,3
165,Software Quality Assurance,1
165,Web Applications,1
165,Test Cases,1
165,Manual Testing,1
165,Unix,3
165,SQL,2
165,Oracle,1
165,Linux,1
166,Customer Service,2
166,Public Speaking,2
166,Troubleshooting,1
166,Sewing,1
166,Apparel,0
166,Quality Assurance,0
166,Theatre,0
166,Merchandising,0
166,Fashion,0
166,Microsoft Office,0
166,Dresses,1
166,Pattern,0
167,SDLC,8
167,Software Development,8
167,Healthcare Information Technology,5
167,Agile Methodologies,3
167,EHR,2
170,Human Computer Interaction,42
170,Computer Science,15
170,Natural Language Processing,9
170,Machine Learning,9
170,User-centered Design,9
170,User Interface,4
170,Usability Testing,4
170,Research,2
170,User Experience Design,1
170,User Experience,1
170,Interaction Design,1
170,Data Visualization,1
170,User Interface Design,1
170,Microsoft Office,0
170,Qualitative Research,1
170,User Research,3
170,High Performance Computing,1
170,Speech Recognition,1
170,Heuristic Evaluation,1
170,Ethnography,1
170,Cscw,0
171,Sellers,21
171,Real Estate,10
171,Investors,9
171,Foreclosures,6
171,Condos,6
171,Short Sales,6
171,Relocation,4
171,Investment Properties,3
171,New Home Sales,3
171,Single Family Homes,3
171,REO,2
171,Real Estate Transactions,2
171,Residential Homes,1
171,Real Property,1
171,Listings,0
171,Luxury,0
171,FHA,0
171,First Time Home Buyers,8
171,Buyer Representation,5
171,Referrals,5
171,Buyers,3
171,Property,2
171,Selling,0
174,Matlab,0
174,MCNP,0
174,Research,0
174,Laboratory,0
174,Chemistry,0
174,Statistics,0
174,Science,0
174,Data Analysis,0
174,Physics,0
174,Mathematical Modeling,0
174,Modeling,0
174,Analytics,0
174,LaTeX,0
174,Java,0
174,Python,0
